name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
theseusa;"Theseus - Iligks I (Jpn, Alt)";1984;"ASCII";NO;theseus;YES;theseus;-;
theseusk;"Theseus - Iligks I (Kor)";198?;"Zemina";NO;theseus;YES;theseus;-;
thexder;"Thexder (Jpn)";1986;"Game Arts?";YES;msx;NO;-;-;
thexderb;"Thexder (Jpn, Alt 2)";1986;"Game Arts?";NO;thexder;YES;thexder;-;
thexdera;"Thexder (Jpn, Alt)";1986;"Game Arts?";NO;thexder;YES;thexder;-;
thndrbal;"Thunder Ball (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
thndrbala;"Thunder Ball (Jpn, Alt)";1985;"ASCII";NO;thndrbal;YES;thndrbal;-;
thndbolt;"Thunderbolt (Jpn)";1986;"Pixel";YES;msx;NO;-;-;
thndboltb;"Thunderbolt (Jpn, Alt 2)";1986;"Pixel";NO;thndbolt;YES;thndbolt;-;
thndbolta;"Thunderbolt (Jpn, Alt)";1986;"Pixel";NO;thndbolt;YES;thndbolt;-;
titipang;"Ti Ti! Pang Pang! (Kor)";1989;"Aproman";YES;msx;NO;-;-;
timebomb;"Time Bomb (Euro)";1987;"Methodic Solutions";YES;msx;NO;-;-;
timeplt;"Time Pilot (Jpn)";1983;"Konami";YES;msx;NO;-;-;
timeplta;"Time Pilot (Jpn, Alt)";1983;"Konami";NO;timeplt;YES;timeplt;-;
timetrax;"Time Trax (Euro)";1986;"Bug-Byte Software";YES;msx;NO;-;-;
titanic;"Titanic (Spa)";1988;"Topo Soft";YES;msx;NO;-;-;
togk;"Tomb of Genghis Khan";2008;"impulse9";YES;msx;NO;-;-;
toobin;"Toobin'";1989;"Domark";YES;msx;NO;-;-;
toprollr;"Top Roller! (Jpn)";1984;"Jaleco";YES;msx;NO;-;-;
topzip;"Topple Zip (Jpn)";1986;"Bothtec";YES;msx;NO;-;-;
trackfld;"Track & Field 1 (Euro)";1984;"Konami";YES;msx;NO;-;-;
trackfl2;"Track & Field 2 (Euro)";1984;"Konami";YES;msx;NO;-;-;
traffic;"Traffic (Jpn)";1986;"Sony";YES;msx;NO;-;-;
traffica;"Traffic (Jpn, Alt)";1986;"Sony";NO;traffic;YES;traffic;-;
trantor;"Trantor - The Last Stormtrooper (Euro)";1987;"Go!";YES;msx;NO;-;-;
trialski;"Trial Ski (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
triton;"Triton (Jpn)";1986;"Sein Soft";YES;msx;NO;-;-;
turbogirl;"Turbo Girl";1988;"Dinamic Software";YES;msx;NO;-;-;
turboat;"Turboat (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
turmoil;"Turmoil (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
turmoilk;"Turmoil (Kor)";1984?;"Qnix";NO;turmoil;YES;turmoil;-;
twinbee;"Twin Bee (Jpn)";1986;"Konami";YES;msx;NO;-;-;
twinbeeb;"Twin Bee (Jpn, Alt 2)";1986;"Konami";NO;twinbee;YES;twinbee;-;
twinbeec;"Twin Bee (Jpn, Alt 3)";1986;"Konami";NO;twinbee;YES;twinbee;-;
twinbeea;"Twin Bee (Jpn, Alt)";1986;"Konami";NO;twinbee;YES;twinbee;-;
twinhamm;"Twin Hammer (Euro)";1989;"Best";YES;msx;NO;-;-;
txupi;"Txupinazo!";2007;"IMANOK";YES;msx;NO;-;-;
tzr;"TZR - GrandPrix Rider (Jpn)";1986;"ASCII";YES;msx;NO;-;-;
ultraman;"Ultraman (Jpn)";1984;"Bandai";YES;msx;NO;-;-;
undergnd;"Underground (Spa)";1988;"System 4";YES;msx;NO;-;-;
univunk;"Universe Unknown";2005;"Infinite";YES;msx;NO;-;-;
uridium;"Uridium";2014;"Trilobyte";YES;msx;NO;-;-;
valkyr;"Valkyr (Euro)";1985;"Gremlin Graphics";YES;msx;NO;-;-;
vaxol;"Vaxol (Jpn)";1987;"Heart Soft";YES;msx;NO;-;-;
vesikauhu;"Vesikauhu (demo)";2000;"Bandwagon";YES;msx;NO;-;-;
vestron;"Vestron (Euro)";1986;"Players Software";YES;msx;NO;-;-;
hustler;"Video Hustler (Jpn)";1984;"Konami";NO;konbill;YES;konbill;-;
hustlera;"Video Hustler (Jpn, Alt)";1984;"Konami";NO;konbill;YES;konbill;-;
vigilant;"Vigilante (Kor)";1990;"Clover";YES;msx;NO;-;-;
voidrun;"Void Runner (Euro)";1987;"Mastertronic";YES;msx;NO;-;-;
volguard;"Volguard (Jpn)";1985;"dB-Soft";YES;msx;NO;-;-;
vortraid;"Vortex Raider (Euro)";1988;"Eurosoft";YES;msx;NO;-;-;
wampcola;"Wamp Cola (Spa)";1988;"Iber Soft";YES;msx;NO;-;-;
warpwarp;"Warp & Warp (Jpn)";1984;"Namcot";YES;msx;NO;-;-;
warpwarpk;"Warp & Warp (Kor)";198?;"Zemina";NO;warpwarp;YES;warpwarp;-;
warroid;"Warroid (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
warroida;"Warroid (Jpn, Alt)";1985;"ASCII";NO;warroid;YES;warroid;-;
waterdrv;"Water Driver (Jpn)";1984;"Colpax?";YES;msx;NO;-;-;
wbells;"Wedding Bells (Jpn)";1984;"Nihon Columbia";YES;msx;NO;-;-;
wbellsa;"Wedding Bells (Jpn, Alt)";1984;"Nihon Columbia";NO;wbells;YES;wbells;-;
whodares;"Who Dares Wins II";1986;"Alligata Software";YES;msx;NO;-;-;
whopper;"Whopper Chase (Spa)";1987;"Erbe Software";YES;msx;NO;-;-;
wingman2;"Wing Man 2 - Kitakura no Fukkatsu (Jpn)";1987;"Enix";YES;msx;NO;-;-;
wingwarr;"Wing Warriors";2015;"Kitmaker";YES;msx;NO;-;-;
winthawk;"Winterhawk (Euro)";1988;"Eurosoft";YES;msx;NO;-;-;
wizlair;"Wizard's Lair (Euro)";1986;"Bubble Bus Software";YES;msx;NO;-;-;
takameij;"Wonder Boy. Takahashi Meijin no Boukenjima (Jpn)";1986;"Hudson Soft";YES;msx;NO;-;-;
wondkid;"Wonder Kid. Adventure Kid.";1993;"Open";YES;msx;NO;-;-;
wonsiin;"Wonsiin (Kor)";1991;"Zemina";YES;msx;NO;-;-;
