name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
pacman;"Pac-Man (USA)";1991;"Namco";YES;-;NO;-;-;
panzer;"Panzer Dragoon Mini (Jpn)";1996;"Sega";YES;-;NO;-;-;
paperboy;"Paperboy (Euro, USA)";1991;"Tengen";YES;-;NO;-;-;
paperbo2;"Paperboy II (Euro, USA)";1992;"Tengen";YES;-;NO;-;-;
pengo;"Pengo (Euro, USA)";1991;"Sega";YES;-;NO;-;-;
pengoj;"Pengo (Jpn)";1990;"Sega";NO;pengo;YES;pengo;-;
inudais;"Pet Club Inu Daisuki! (Jpn)";1996;"Sega";YES;-;NO;-;-;
nekodais;"Pet Club Neko Daisuki! (Jpn)";1996;"Sega";YES;-;NO;-;-;
sampras;"Pete Sampras Tennis (Euro)";1994;"Codemasters";YES;-;NO;-;-;
pga96;"PGA Tour 96 (Euro, USA)";1996;"Black Pearl";YES;-;NO;-;-;
pgatourt;"PGA Tour Golf (Euro, USA)";1991;"Tengen";YES;-;NO;-;-;
pgatour;"PGA Tour Golf (USA, v1.1)";1994;"Electronic Arts?";YES;-;NO;-;-;
pgatour2;"PGA Tour Golf II (Euro, USA)";1992;"Time Warner Interactive";YES;-;NO;-;-;
pstaradv;"Phantasy Star Adventure (Jpn)";1992;"Sega";YES;-;NO;-;-;
pstargdn;"Phantasy Star Gaiden (Jpn)";1992;"Sega";YES;-;NO;-;-;
phantom;"Phantom 2040 (Euro, USA)";1995;"Viacom New Media";YES;-;NO;-;-;
pbdreams;"Pinball Dreams (USA)";1993;"GameTek";YES;-;NO;-;-;
pocketj;"Pocket Jansou (Jpn)";1992;"Namcot";YES;-;NO;-;-;
pokerfbj;"Poker Face Paul's Blackjack (USA)";1994;"Sega";YES;-;NO;-;-;
pokerfp;"Poker Face Paul's Poker (USA)";1994;"Sega";YES;-;NO;-;-;
pokerfs;"Poker Face Paul's Solitaire (USA)";1994;"Sega";YES;-;NO;-;-;
pokerfg;"Poker Faced Paul's Gin (USA)";1994;"Sega";YES;-;NO;-;-;
popbreak;"Pop Breaker (Jpn)";1991;"Micro Cabin";YES;-;NO;-;-;
popeye;"Popeye no Beach Volleyball (Jpn)";1994;"Technos Japan";YES;-;NO;-;-;
pdrive;"Power Drive (Euro)";1994;"U.S. Gold";YES;-;NO;-;-;
pstrike2;"Power Strike II (Euro) ~ GG Aleste II (Jpn)";1993;"Sega";YES;-;NO;-;-;
predatr2;"Predator 2 (Euro, USA, SMS Mode)";1992;"Arena";YES;-;NO;-;-;
primal;"Primal Rage (Euro, USA)";1994;"Time Warner Interactive";YES;-;NO;-;-;
ppersia;"Prince of Persia (Euro, SMS Mode)";1992;"Domark";YES;-;NO;-;-;
ppersiau;"Prince of Persia (USA, SMS Mode)";1992;"Domark";NO;ppersia;YES;ppersia;-;
proyak94;"Pro Yakyuu GG League '94 (Jpn)";1994;"Sega";YES;-;NO;-;-;
proyakgg;"Pro Yakyuu GG League (Jpn)";1993;"Sega";YES;-;NO;-;-;
psychicw;"Psychic World (Euro, USA, Bra)";1991;"Sega";YES;-;NO;-;-;
psychicwj;"Psychic World (Jpn)";1991;"Sega";NO;psychicw;YES;psychicw;-;
puttputt;"Putt and Putter (Euro, USA, Bra)";1991;"Sega";YES;-;NO;-;-;
puttputtj;"Putt and Putter (Jpn)";1991;"Sega";NO;puttputt;YES;puttputt;-;
puyopuyo;"Puyo Puyo (Jpn)";1993;"Sega";YES;-;NO;-;-;
puyopuy2;"Puyo Puyo 2 (Jpn)";1994;"Compile";YES;-;NO;-;-;
tantr;"Puzzle and Action Tant~R (Jpn)";1994;"Sega";YES;-;NO;-;-;
pbobble;"Puzzle Bobble (Jpn)";1996;"Taito";NO;bam;YES;bam;-;
ichirgg;"Puzzlle and Action Ichidant~R GG (Jpn)";1994;"Sega";YES;-;NO;-;-;
shavnyak;"Quest for the Shaven Yak Starring Ren Hoek and Stimpy (Euro, USA)";1993;"Sega";YES;-;NO;-;-;
rbibb94;"R.B.I. Baseball '94 (USA)";1994;"Time Warner Interactive";YES;-;NO;-;-;
rcgp;"R.C. Grand Prix (USA, SMS Mode)";1992;"Absolute Entertainment";YES;-;NO;-;-;
rastan;"Rastan Saga (Jpn, SMS Mode)";1991;"Taito";YES;-;NO;-;-;
revenged;"Revenge of Drancon (USA, Bra)";1991;"Sega";NO;wboy;YES;wboy;-;
riddickj;"Riddick Bowe Boxing (Jpn)";1994;"Micronet";NO;riddick;YES;riddick;-;
riddick;"Riddick Bowe Boxing (USA)";1993;"Extreme Entertainment Group";YES;-;NO;-;-;
riserobo;"Rise of the Robots (Euro, USA)";1994;"Time Warner Interactive";YES;-;NO;-;-;
ristarp5;"Ristar - The Shooting Star (Prototype, 19940909)";1994;"Sega";NO;ristar;YES;ristar;-;
